Time;Frame;GroundTruth x;GroundTruth y;GroundTruth v_x;GroundTruth v_y;Measurement x;Measurement y;Kalman x;Kalman y;Kalman v_x;Kalman v_y;KalmanP x;KalmanP y
30,70262;175;-4,390407;2,746222;0,9136915;-0,4063487;-4,447076;2,825118;-4,905846;2,965972;-0,3092048;0,5489898;0,2330118;1,345849
30,70297;175;-4,372231;2,737875;0,9088039;-0,4173517;0;0;-4,87717;2,970282;-0,2720276;0,5449865;0,2249308;1,317984
30,7319;176;-4,354153;2,729321;0,9038925;-0,4276991;-4,418859;2,949418;-4,88261;2,981181;-0,2720276;0,5449865;0,2347421;1,35001
30,76046;177;-4,336169;2,720571;0,8992195;-0,4374981;-4,403822;2,951397;-4,852627;2,990201;-0,2341651;0,5438581;0,2264965;1,321888
30,78867;178;-4,318276;2,711635;0,8946419;-0,4467964;-4,328187;2,625565;-4,824186;2,998933;-0,1987113;0,5425699;0,2191303;1,295543
30,78897;178;-4,300472;2,702524;0,8902073;-0,4555583;0;0;-4,792742;2,993508;-0,1607239;0,5327928;0,212523;1,270828
30,81905;179;-4,282753;2,693248;0,8859396;-0,4637957;-4,315681;2,562744;-4,795956;3,004164;-0,1607239;0,5327928;0,2218521;1,301746
30,85077;180;-4,265117;2,683815;0,8817911;-0,4716516;-4,254531;2,235212;-4,764519;2,995581;-0,1234014;0,5212231;0,2150119;1,276687
30,85103;180;-4,24756;2,674237;0,8778572;-0,4788995;0;0;-4,731309;2,973809;-0,08489075;0,5018479;0,2088598;1,253152
30,88085;181;-4,230079;2,664521;0,8740425;-0,4858017;-4,275849;2,424663;-4,733007;2,983845;-0,08489075;0,5018479;0,2180888;1,283696
30,91493;182;-4,21267;2,654675;0,8704662;-0,4922986;-4,159922;2,201214;-4,702329;2,969979;-0,04978962;0,4874438;0,2116774;1,259786
30,91525;182;-4,195331;2,644708;0,8669376;-0,4983544;0;0;-4,666029;2,947619;-0,009266301;0,4680802;0,2058975;1,237307
30,94881;183;-4,178056;2,634628;0,8637667;-0,503993;-4,14269;2,191967;-4,666215;2,956981;-0,009266301;0,4680802;0,2150571;1,267532
30,94917;183;-4,160845;2,624442;0,860548;-0,5092978;0;0;-4,629916;2,934215;0,03054859;0,4486737;0,2089953;1,244648
30,98285;184;-4,143692;2,614157;0,8576393;-0,514257;-4,107731;1,950131;-4,629305;2,943189;0,03054859;0,4486737;0,2183311;1,275101
30,98325;184;-4,126595;2,603781;0,8548498;-0,5187988;0;0;-4,591882;2,91035;0,0708496;0,4233819;0,2119822;1,251812
31,01606;185;-4,109549;2,593318;0,8522987;-0,52315;-4,14662;2,359349;-4,590465;2,918818;0,0708496;0,4233819;0,22148;1,282482
31,05189;186;-4,092548;2,582785;0,8500576;-0,5266547;-4,115287;2,483676;-4,557364;2,903455;0,1056137;0,4089496;0,214842;1,258791
31,05222;186;-4,075547;2,57225;0,8500338;-0,5267501;0;0;-4,524621;2,893995;0,1392618;0,3982598;0,2088587;1,236512
31,08673;187;-4,058547;2,561716;0,8500099;-0,5266905;-4,08681;2,490386;-4,521836;2,90196;0,1392618;0,3982598;0,2182498;1,266867
31,08702;187;-4,041546;2,55118;0,8500576;-0,5268097;0;0;-4,488512;2,892526;0,1728922;0,3877005;0,211961;1,244159
31,11838;188;-4,024547;2,540644;0,8499384;-0,5267978;-4,067596;2,619088;-4,485054;2,90028;0,1728922;0,3877005;0,221513;1,274743
31,16372;189;-4,007547;2,530108;0,8500099;-0,5267978;-4,064362;2,89447;-4,451937;2,895979;0,2056015;0,3803757;0,2149182;1,251608
31,1647;189;-3,990548;2,51957;0,8499503;-0,5268931;0;0;-4,421114;2,903213;0,2350848;0,3801485;0,2089701;1,229839
31,1656;189;-3,973549;2,509033;0,8499503;-0,5268574;0;0;-4,416413;2,910816;0,2350848;0,3801485;0,2184106;1,26013
31,2293;190;-3,956551;2,498494;0,8498907;-0,5269527;-4,061574;2,983344;-4,411711;2,918419;0,2350848;0,3801485;0,2282866;1,29119
31,231;190;-3,939553;2,487956;0,8499026;-0,5268931;0;0;-4,381559;2,928443;0,2632091;0,381623;0,2210279;1,267144
31,23261;190;-3,922555;2,477416;0,8499026;-0,5270004;0;0;-4,376295;2,936076;0,2632091;0,381623;0,2310179;1,298398
31,28549;191;-3,905558;2,466876;0,849843;-0,5270004;-4,000068;2,695121;-4,371031;2,943708;0,2632091;0,381623;0,2414549;1,330433
31,28631;191;-3,888561;2,456335;0,8498549;-0,5270481;0;0;-4,337392;2,940203;0,2944835;0,3748376;0,2327689;1,304001
31,28695;191;-3,871565;2,445794;0,8497953;-0,5270481;0;0;-4,331502;2,9477;0,2944835;0,3748376;0,2432561;1,336172
31,33881;192;-3,854568;2,435252;0,8498549;-0,5271077;-3,96529;2,784975;-4,325613;2,955197;0,2944835;0,3748376;0,2542001;1,369135
31,33935;192;-3,837573;2,42471;0,8497477;-0,5270958;0;0;-4,290895;2,954754;0,3260868;0,3700035;0,2440069;1,340225
31,38758;193;-3,820577;2,414166;0,8498073;-0,5272031;-3,888963;2,716566;-4,284373;2,962154;0,3260868;0,3700035;0,2549356;1,373264
31,38855;193;-3,803582;2,403623;0,8497477;-0,5271435;0;0;-4,246142;2,95822;0,3607022;0,3631074;0,2446133;1,344063
31,38897;193;-3,786588;2,393079;0,8497;-0,5272031;0;0;-4,238928;2,965482;0,3607022;0,3631074;0,2555227;1,377171
31,46808;194;-3,769593;2,382534;0,8497477;-0,5272508;-3,824516;2,267482;-4,231715;2,972744;0,3607022;0,3631074;0,2668955;1,411081
31,46844;194;-3,752599;2,371989;0,8497;-0,5272508;0;0;-4,190496;2,947246;0,3975618;0,3432064;0,2550441;1,379328
31,46869;194;-3,735606;2,361442;0,8496523;-0,5273461;0;0;-4,182545;2,95411;0,3975618;0,3432064;0,2663337;1,413247
31,469;194;-3,718613;2,350896;0,8496523;-0,5273104;0;0;-4,174593;2,960974;0,3975618;0,3432064;0,2780932;1,447976
31,51235;195;-3,701618;2,340351;0,8497477;-0,5272388;-3,721818;2,076153;-4,166642;2,967839;0,3975618;0,3432064;0,2903322;1,483527
31,51349;195;-3,684621;2,32981;0,849843;-0,52706;0;0;-4,118607;2,931374;0,4404687;0,3169796;0,2752541;1,446617
